Hugo_Symbol	3'Flank	5'Flank	Frame_Shift_Del	Frame_Shift_Ins	Fusion	In_Frame_Ins	Missense_Mutation	Multi_Hit_Fusion	Nonsense_Mutation	Splice_Site	3'UTR	Splice_Region	Silent	RNA	5'UTR	total	Amp	Del	CNV_total	MutatedSamples	AlteredSamples
CTNNB1	0	0	0	0	1	0	12	0	0	0	0	0	0	0	0	13	0	0	0	13	13
DDX3X	1	0	0	0	0	1	7	0	1	1	1	0	0	0	1	13	0	0	0	12	12
TP53	0	0	1	0	0	0	6	0	1	2	1	0	0	0	0	11	0	0	0	9	9
KMT2C	0	0	2	2	0	0	2	0	1	0	2	0	1	0	0	10	0	0	0	9	9
KDM6A	1	0	0	1	0	0	0	0	2	3	1	1	0	0	0	9	0	0	0	9	9
KMT2D	0	0	2	2	0	0	1	0	3	1	0	0	0	0	0	9	0	0	0	8	8
SMARCA4	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	8	0	0	0	6	6
PTCH1	0	1	3	1	0	0	0	0	0	1	1	0	0	0	0	7	0	0	0	6	6
TERT	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	5	1	0	1	4	5
KSR2	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	4	0	0	0	4	4
ATM	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	3	0	0	0	3	3
CDK6	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	3	3
IGFN1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	3	0	0	0	3	3
TCF4	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	3	3
TTYH1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	3	3	0	3	3	3
ZIC1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	3	3
ZMYM3	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	3	0	0	0	3	3
APC	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	2	2
CREBBP	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	2	2
CTDNEP1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	2	2
FOXO3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	2	2
GSE1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	2
KBTBD4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	2	2
MIR17HG	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	2	2
PRKAR1A	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	1	2	3
PTEN	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	1	1
ARID1A	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
BCOR	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
CENPE	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1
DICER1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
DYNC2H1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
FOXR2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
MED12	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1
MIR512-2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	3	1	4
MSH2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1
MYCN	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	2	1	3
OTX2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
PIK3CA	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1
SNCAIP	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
SUFU	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	2
TBR1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
IDH1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1
MIR1323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	3
MIR515-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	3
MIR519C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	3
SMARCB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2
TFPT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2
