Hugo_Symbol	3'Flank	5'Flank	Frame_Shift_Del	Frame_Shift_Ins	Fusion	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Multi_Hit_Fusion	Nonsense_Mutation	Splice_Site	3'UTR	Silent	total	MutatedSamples	AlteredSamples
BRAF	4	0	1	1	109	0	6	39	3	0	0	3	1	167	157	157
KIAA1549	0	0	0	0	108	0	0	0	0	0	0	0	0	108	108	108
FGFR1	0	0	0	0	0	0	0	11	0	0	0	0	0	11	7	7
NTRK2	0	1	0	0	5	0	0	0	0	0	0	0	0	6	6	6
PIK3CA	0	0	0	0	0	0	0	6	0	0	0	0	0	6	6	6
QKI	0	0	0	0	1	0	0	0	2	0	0	2	0	5	5	5
KRAS	0	0	0	0	0	0	0	4	0	0	0	0	3	7	4	4
RAF1	0	0	0	0	3	0	0	0	1	0	0	0	0	4	4	4
TP53	0	0	1	0	0	0	0	1	0	0	2	0	0	4	4	4
CDKN2A	0	2	0	0	0	0	0	0	0	1	0	0	0	3	3	3
MYB	0	0	0	0	2	0	0	0	1	0	0	0	0	3	3	3
ROS1	0	0	0	0	3	0	0	0	0	0	0	0	0	3	3	3
ALK	0	0	0	0	1	0	0	0	1	0	0	0	0	2	2	2
ATRX	0	0	0	1	0	0	0	0	0	1	0	0	0	2	2	2
FGFR2	0	0	0	0	2	0	0	0	0	0	0	0	0	2	2	2
NTRK3	2	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2
H3F3A	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1
MAP2K1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1
PRKCA	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1
PTPN11	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1
TACC1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1
TSC1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1
